Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | BMW | Chevrolet | Ford | Jeep/Kaiser-Jeep/Willys-Jeep | Lexus | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3647B44",,,,,,,,,,,,,,,
ColumnCount:,17,,,,,,,,,,,,,,,
RowCount:,552,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time,"All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Jeep/Kaiser-Jeep/Willys-Jeep, All Models, All Vehicle Years, #","All Types, Lexus, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Jeep/Kaiser-Jeep/Willys-Jeep, All Models, All Vehicle Years, #","Automobiles, Lexus, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #"
Sep-06,4956,6,26,727,810,118,20,1997,6,19,259,259,,15,555,6
Oct-06,5235,6,38,803,931,132,29,2211,6,36,290,302,,23,360,2
Nov-06,4793,11,30,756,857,115,27,2038,11,27,253,283,,18,300,2
Dec-06,4756,8,33,752,851,111,29,2134,8,30,272,280,,22,176,1
Jan-07,4060,6,29,663,715,106,21,1791,6,24,232,232,,16,138,2
Feb-07,3968,6,24,639,688,95,22,1730,6,21,232,230,,16,151,2
Mar-07,4746,9,24,724,819,108,17,1927,9,18,274,248,,10,392,2
Apr-07,4614,8,34,619,824,108,25,1960,8,28,236,259,1,19,438,3
May-07,4899,7,27,722,793,125,29,1923,7,21,246,279,,24,646,3
Jun-07,4961,8,30,729,794,112,24,1939,8,23,259,252,1,17,626,5
Jul-07,5123,7,27,730,844,123,21,1933,7,17,246,249,1,18,686,9
Aug-07,5029,6,32,709,837,110,28,1909,6,25,212,267,,24,660,6
Sep-07,4753,10,34,712,770,109,26,1808,10,20,263,234,1,17,635,11
Oct-07,4961,4,33,749,770,108,30,2022,4,27,282,233,,23,489,3
Nov-07,4640,7,35,706,802,90,35,1981,7,28,239,255,,23,268,3
Dec-07,4499,8,25,760,811,116,19,1940,8,23,262,260,,14,176,2
Jan-08,3916,5,26,622,684,92,19,1786,5,22,236,232,,13,148,1
Feb-08,3929,5,23,597,655,94,26,1714,5,19,237,222,,17,193,
Mar-08,3834,11,25,616,679,82,15,1661,11,22,217,237,1,9,294,1
Apr-08,4021,2,32,559,675,81,22,1569,2,26,188,189,,15,501,4
May-08,4329,7,26,607,691,77,19,1679,7,16,224,232,,14,613,8
Jun-08,4487,8,28,655,693,93,29,1682,8,20,221,212,,23,698,5
Jul-08,4422,6,21,621,640,91,27,1638,5,17,220,206,,16,717,2
Aug-08,4663,9,33,624,727,111,13,1758,9,27,233,215,,10,745,6
Sep-08,4185,5,40,564,605,122,20,1562,5,31,184,186,1,13,574,7
Oct-08,4512,8,31,641,694,105,21,1871,8,23,243,224,,19,483,3
Nov-08,4151,8,34,680,715,114,19,1781,8,28,245,200,1,16,278,2
Dec-08,4211,3,32,701,736,107,29,1780,3,31,260,213,,22,165,1
Jan-09,3565,5,33,577,639,82,17,1528,5,24,212,201,2,11,144,5
Feb-09,3171,5,23,496,546,78,21,1397,5,19,176,185,1,12,209,3
Mar-09,3459,5,26,569,554,96,18,1418,5,21,203,163,1,15,273,3
Apr-09,3930,8,35,577,607,102,27,1558,7,29,198,169,,19,465,4
May-09,4100,8,34,607,651,92,21,1616,6,27,207,211,2,14,582,5
Jun-09,4013,9,25,590,627,80,23,1541,9,18,207,186,,18,551,2
Jul-09,4083,7,27,589,655,89,17,1470,5,19,192,187,,9,592,4
Aug-09,4196,7,28,612,630,101,27,1617,7,22,218,191,,21,581,3
Sep-09,3869,3,31,556,610,69,12,1538,3,23,217,189,,8,511,6
Oct-09,3857,8,20,618,665,101,33,1615,8,17,213,206,,25,308,2
Nov-09,3720,9,21,562,625,90,31,1593,9,18,193,210,,25,283,2
Dec-09,3577,8,27,562,622,102,27,1523,7,22,193,177,,23,103,1
Jan-10,3107,5,26,451,544,69,21,1371,5,25,155,173,,18,125,
Feb-10,2801,8,22,454,450,63,15,1211,8,17,157,146,,11,110,4
Mar-10,3336,5,19,491,532,70,21,1434,5,17,166,167,1,15,265,
Apr-10,3804,5,42,518,601,86,32,1542,5,32,187,189,2,27,468,6
May-10,3956,7,27,572,559,84,22,1540,7,23,202,172,1,16,551,3
Jun-10,3821,3,20,574,613,90,20,1390,2,14,206,176,,14,587,4
Jul-10,4200,5,45,610,616,95,32,1525,5,28,207,168,,24,619,12
Aug-10,4183,6,32,593,621,89,22,1522,6,23,201,177,,14,629,8
Sep-10,4094,10,29,556,673,107,31,1529,10,21,196,176,,22,526,7
Oct-10,4136,4,35,626,624,91,23,1655,4,26,208,189,,19,442,5
Nov-10,3854,4,25,566,652,103,19,1578,4,20,197,183,,15,214,3
Dec-10,3570,9,21,567,617,97,17,1511,9,14,168,186,,12,115,2
Jan-11,3076,6,27,474,517,64,14,1345,6,24,164,161,2,11,153,2
Feb-11,2868,3,22,441,467,62,18,1167,2,17,145,126,,13,182,4
Mar-11,3311,5,28,507,527,90,19,1341,5,24,176,162,,10,267,3
Apr-11,3508,2,28,523,547,90,20,1433,2,20,195,166,1,17,408,5
May-11,3744,10,32,531,567,97,28,1415,9,28,203,165,1,19,533,3
Jun-11,3937,7,18,554,569,98,19,1446,7,14,193,163,1,13,603,3
Jul-11,4232,11,26,571,636,91,35,1591,9,20,214,184,1,28,652,3
Aug-11,4109,7,25,604,580,96,19,1469,6,17,220,161,1,14,640,7
Sep-11,3824,5,32,505,607,89,25,1458,5,21,193,195,1,20,507,8
Oct-11,4194,6,31,587,632,110,33,1694,5,22,207,174,,28,444,4
Nov-11,3692,11,38,535,568,108,26,1588,11,30,194,163,1,16,235,2
Dec-11,3624,8,20,545,589,90,18,1564,8,18,200,170,1,12,144,1
Jan-12,3330,4,31,526,555,83,27,1454,3,22,183,160,2,21,174,4
Feb-12,3189,7,23,480,529,85,21,1390,7,20,160,188,1,11,161,1
Mar-12,3678,17,24,530,516,103,27,1461,16,21,176,177,2,20,439,2
Apr-12,3548,3,26,498,524,80,22,1435,3,22,192,163,1,14,451,3
May-12,3966,6,36,579,607,102,23,1479,6,23,193,185,1,12,579,10
Jun-12,4131,12,45,576,570,104,26,1500,12,32,179,158,5,19,664,10
Jul-12,4164,12,24,594,656,98,32,1548,11,17,199,191,,23,603,5
Aug-12,4258,9,31,575,617,96,30,1578,8,23,209,172,1,19,623,4
Sep-12,4074,5,36,572,586,100,27,1563,5,21,206,190,1,19,575,12
Oct-12,3997,11,30,590,598,99,32,1608,11,20,223,183,1,21,395,6
Nov-12,3853,12,23,588,608,96,35,1624,12,18,218,154,2,24,276,2
Dec-12,3772,9,32,606,606,96,24,1633,9,28,225,171,1,18,168,1
Jan-13,3416,5,25,522,523,107,32,1424,4,20,173,149,2,26,163,3
Feb-13,2845,6,23,428,453,73,18,1177,6,20,135,120,1,13,135,1
Mar-13,3552,9,41,487,545,82,29,1488,7,32,186,167,2,22,301,4
Apr-13,3464,15,30,453,528,71,21,1399,15,17,172,163,2,17,397,6
May-13,3817,8,35,528,547,92,24,1445,8,28,192,164,1,16,504,3
Jun-13,4009,12,34,519,596,100,26,1481,12,21,187,183,,22,573,7
Jul-13,3933,17,42,573,524,70,25,1453,16,34,191,152,3,19,583,6
Aug-13,4304,18,34,558,583,94,29,1607,17,29,210,160,2,20,695,4
Sep-13,4106,13,39,533,588,92,31,1587,12,27,196,175,1,26,612,10
Oct-13,4135,7,33,617,609,89,24,1622,7,22,225,165,2,16,433,6
Nov-13,3803,6,29,571,590,85,29,1651,6,24,212,179,,19,265,3
Dec-13,3717,10,32,593,550,102,24,1624,9,28,232,169,4,20,137,2
Jan-14,3260,10,26,459,528,74,25,1362,9,21,160,143,1,19,164,2
Feb-14,2802,8,21,432,451,68,22,1192,8,16,160,129,1,17,145,
Mar-14,3374,13,33,463,508,84,23,1379,11,23,165,142,1,18,279,3
Apr-14,3478,6,31,478,513,80,31,1395,6,21,175,158,,22,389,5
May-14,3891,13,35,533,494,94,30,1507,13,24,177,175,,20,564,5
Jun-14,3887,6,40,532,541,87,20,1395,6,28,187,151,,16,621,7
Jul-14,4011,16,30,560,550,82,27,1476,16,24,197,158,,19,590,4
Aug-14,4175,13,49,599,596,110,28,1587,11,35,190,203,2,21,585,10
Sep-14,3897,11,36,537,523,87,28,1480,9,21,187,155,6,19,522,10
Oct-14,4242,10,46,551,637,94,24,1720,9,31,214,189,2,21,422,5
Nov-14,4044,11,40,583,620,120,31,1715,9,30,203,182,5,27,243,3
Dec-14,3889,13,40,575,624,78,39,1688,12,32,196,206,1,25,181,3
Jan-15,3584,10,38,559,560,79,33,1557,7,36,192,168,5,28,167,1
Feb-15,3057,6,25,431,481,77,28,1280,4,21,154,147,1,21,152,2
Mar-15,3721,6,36,580,568,103,22,1537,6,23,213,147,,17,320,9
Apr-15,3741,10,40,512,526,90,40,1489,9,30,190,143,3,27,430,8
May-15,4333,17,33,610,619,102,39,1689,15,25,220,191,,27,575,6
Jun-15,4260,7,44,563,591,110,37,1639,7,27,223,170,3,25,585,13
Jul-15,4628,6,39,641,598,110,45,1714,4,28,232,158,5,33,666,7
Aug-15,4630,13,41,624,639,118,39,1728,9,24,222,195,3,28,647,11
Sep-15,4380,9,41,566,651,116,37,1715,5,32,213,183,3,25,560,8
Oct-15,4610,11,51,620,644,107,27,1849,11,35,245,195,7,20,493,7
Nov-15,4212,16,46,581,634,125,35,1775,12,37,206,199,5,24,269,3
Dec-15,4322,10,51,664,639,93,33,1846,10,43,244,218,1,22,266,3
Jan-16,3483,20,33,501,516,80,35,1521,16,27,167,176,1,27,160,4
Feb-16,3668,10,39,524,532,108,31,1587,7,34,202,174,2,23,243,1
Mar-16,4065,6,33,569,557,122,28,1709,5,22,218,191,4,19,346,4
Apr-16,4172,22,41,564,591,114,47,1649,19,29,186,170,6,36,472,8
May-16,4580,15,44,633,606,96,38,1750,10,35,232,163,5,29,634,7
Jun-16,4721,15,47,637,652,98,49,1809,14,32,230,182,1,28,617,8
Jul-16,4583,10,55,627,614,112,30,1711,8,33,226,173,3,20,653,11
Aug-16,4794,9,44,661,656,113,53,1812,6,34,236,185,,36,635,9
Sep-16,4758,16,44,613,648,92,40,1773,16,26,212,178,3,29,630,14
Oct-16,4933,15,49,651,696,111,45,1978,12,36,241,208,4,30,537,8
Nov-16,4570,17,40,608,668,129,30,1927,14,33,211,198,8,21,344,3
Dec-16,4387,14,53,621,656,102,39,1853,11,42,215,182,4,24,193,3
Jan-17,3988,20,36,580,564,108,39,1734,14,27,200,174,2,27,195,
Feb-17,3487,12,35,543,454,94,26,1467,7,21,191,150,1,19,271,7
Mar-17,4183,10,45,566,611,100,40,1791,9,27,224,181,6,23,328,4
Apr-17,4257,10,45,554,582,125,31,1718,9,32,195,213,3,19,517,7
May-17,4523,14,44,622,590,111,46,1764,13,32,206,164,4,34,537,7
Jun-17,4752,16,48,630,667,122,39,1804,10,30,234,188,9,22,643,13
Jul-17,4980,18,57,663,683,107,38,1819,12,39,231,197,5,23,724,11
Aug-17,4515,11,49,584,624,125,31,1744,10,34,219,194,5,21,586,12
Sep-17,4874,13,51,589,625,135,36,1875,10,36,213,192,4,23,652,12
Oct-17,4726,16,37,604,677,138,39,1809,14,20,214,190,12,29,438,8
Nov-17,4441,13,50,597,680,123,43,1883,11,37,227,219,6,31,283,5
Dec-17,4402,6,48,632,675,123,39,1873,3,33,232,198,8,23,211,4
Jan-18,4056,17,46,578,599,110,38,1749,15,36,228,190,6,27,202,2
Feb-18,3547,9,37,467,479,98,27,1446,6,29,164,133,3,14,217,3
Mar-18,4084,15,37,604,607,113,33,1675,12,27,217,185,2,21,287,6
Apr-18,3985,6,38,536,568,114,33,1644,4,31,189,186,8,19,387,3
May-18,4598,6,43,567,608,113,29,1746,5,28,216,170,5,21,583,11
Jun-18,4648,11,44,581,612,115,38,1669,8,28,197,179,8,22,687,10
Jul-18,4610,17,41,615,626,115,44,1688,12,24,211,190,5,26,637,12
Aug-18,4648,8,35,580,612,130,34,1693,7,23,206,169,5,24,659,7
Sep-18,4600,21,56,635,632,117,48,1778,19,36,242,195,7,39,572,11
Oct-18,4825,21,56,652,725,139,47,1846,13,41,227,218,7,29,450,7
Nov-18,4164,14,30,574,595,121,47,1692,9,24,203,187,4,26,240,3
Dec-18,4107,13,45,566,571,104,46,1717,8,36,211,171,5,33,193,2
Jan-19,3875,12,38,550,558,114,43,1596,7,26,179,153,5,30,147,4
Feb-19,3344,11,24,450,488,116,35,1391,9,19,166,158,4,22,179,
Mar-19,3959,18,38,549,541,107,35,1623,16,30,211,170,7,20,340,2
Apr-19,4072,14,47,549,512,113,38,1538,11,32,187,154,7,28,421,8
May-19,4487,12,53,581,601,105,41,1649,9,33,197,166,5,30,593,12
Jun-19,4535,10,55,611,567,123,40,1622,6,37,209,156,5,26,652,11
Jul-19,4592,13,53,562,619,107,33,1628,9,35,182,182,8,21,666,8
Aug-19,4699,14,47,625,590,128,37,1700,9,33,216,145,4,25,677,7
Sep-19,4674,16,35,603,631,129,39,1645,11,17,206,163,10,27,619,11
Oct-19,4560,12,45,597,662,116,50,1767,12,32,194,195,3,30,397,8
Nov-19,4339,12,53,611,620,128,22,1731,8,38,198,190,12,15,247,4
Dec-19,4111,16,44,594,591,114,38,1696,14,34,169,171,8,25,176,2
Jan-20,3760,17,45,528,541,121,34,1539,11,28,183,165,2,24,165,2
Feb-20,3747,17,46,502,515,120,37,1596,14,32,177,165,7,24,212,4
Mar-20,3548,11,38,477,463,86,38,1441,7,22,185,131,5,25,326,4
Apr-20,3077,10,36,407,383,72,32,1198,9,28,127,122,5,24,365,3
May-20,4267,9,47,564,562,120,38,1588,8,28,188,154,8,32,551,11
Jun-20,5186,20,50,676,665,168,46,1878,15,36,214,220,9,31,707,7
Jul-20,5251,18,72,653,636,147,43,1964,12,51,238,200,5,28,740,8
Aug-20,5426,26,73,655,690,148,47,1991,20,42,215,223,9,25,775,16
Sep-20,5230,15,65,657,673,144,45,1921,11,48,225,196,4,31,703,7
Oct-20,5480,24,65,702,711,155,55,2037,17,46,242,208,11,34,573,4
Nov-20,4784,22,56,639,634,135,44,1903,17,43,226,175,12,25,385,2
Dec-20,4516,14,41,626,584,136,56,1826,12,28,207,167,7,41,213,4
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Publisher:," ""National Highway Traffic Safety Administration""",,,,,,,,,,,,,,,
Copyright:," ""The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version.""",,,,,,,,,,,,,,,
